"","MarketID","MarketSize","LocationID","AgeOfStore","Promotion","week","SalesInThousands"
"1",1,"Medium",1,4,"3",1,99.0112107115061
"2",1,"Medium",1,4,"3",2,92.6903686856231
"3",1,"Medium",1,4,"3",3,58.5119633245906
"4",1,"Medium",1,4,"3",4,68.0408500950248
"5",1,"Medium",2,5,"2",1,5.04425586096618
"6",1,"Medium",2,5,"2",2,161.644245687015
"7",1,"Medium",2,5,"2",3,2.95152973118524
"8",1,"Medium",2,5,"2",4,230.429766038461
"9",1,"Medium",3,12,"1",1,78.8664233485902
"10",1,"Medium",3,12,"1",2,123.985980026222
"11",1,"Medium",3,12,"1",3,80.3791280721031
"12",1,"Medium",3,12,"1",4,57.8010698993798
"13",1,"Medium",4,1,"2",1,24.2648786205985
"14",1,"Medium",4,1,"2",2,16.9634348970838
"15",1,"Medium",4,1,"2",3,115.268703025514
"16",1,"Medium",4,1,"2",4,112.88831915359
"17",1,"Medium",5,10,"2",1,157.840871296246
"18",1,"Medium",5,10,"2",2,115.75812892912
"19",1,"Medium",5,10,"2",3,51.4690581164602
"20",1,"Medium",5,10,"2",4,92.0308936914895
"21",1,"Medium",6,10,"3",1,121.075542924147
"22",1,"Medium",6,10,"3",2,42.3256993832035
"23",1,"Medium",6,10,"3",3,86.4498413688941
"24",1,"Medium",6,10,"3",4,86.2083034871265
"25",1,"Medium",7,15,"1",1,52.174956781702
"26",1,"Medium",7,15,"1",2,96.2207599716224
"27",1,"Medium",7,15,"1",3,115.407004600203
"28",1,"Medium",7,15,"1",4,119.522353443035
"29",1,"Medium",8,10,"2",1,2.75915642927298
"30",1,"Medium",8,10,"2",2,73.3418743478879
"31",1,"Medium",8,10,"2",3,120.636960074399
"32",1,"Medium",8,10,"2",4,115.703430920597
"33",1,"Medium",9,6,"1",1,143.691186063981
"34",1,"Medium",9,6,"1",2,88.764113239815
"35",1,"Medium",9,6,"1",3,51.0230284680939
"36",1,"Medium",9,6,"1",4,112.946589113956
"37",1,"Medium",10,5,"2",1,5.26352673825881
"38",1,"Medium",10,5,"2",2,22.0444980700966
"39",1,"Medium",10,5,"2",3,84.3039252104424
"40",1,"Medium",10,5,"2",4,189.877611616943
"41",1,"Medium",11,5,"3",1,114.488521393574
"42",1,"Medium",11,5,"3",2,55.7624290429513
"43",1,"Medium",11,5,"3",3,98.7849601906083
"44",1,"Medium",11,5,"3",4,80.2804878076797
"45",1,"Medium",12,12,"1",1,42.3965736748163
"46",1,"Medium",12,12,"1",2,131.731137769901
"47",1,"Medium",12,12,"1",3,118.261445878355
